"Pair","Param1","Param2","Param1Value","Param2Value","SSE","Log10SSE"
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.015,0.148571902585015,-0.828063315111538
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.02,0.0926086292528128,-1.03334854396308
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.025,0.0536129292971869,-1.27073046319348
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.03,0.0280828610984818,-1.55155864810974
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.035,0.0133961440748269,-1.87302019029268
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.04,0.00756119247002361,-2.12140970683855
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.045,0.00906270760796816,-2.04274203151477
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.05,0.0167556967034165,-1.7758375094486
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.055,0.0297870232362929,-1.52597289579964
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.06,0.0475341849419308,-1.32299394844081
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.065,0.0695558647910716,-1.15766624541289
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.07,0.0955511806544821,-1.01976394232369
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.075,0.125325788442967,-0.901959554495856
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.08,0.158763649550012,-0.7992489263861
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.01,0.256917136925527,-0.590206926391601
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.015,0.173856943331299,-0.759807960199277
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.02,0.112924145454314,-0.947213187247686
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.025,0.0693546874033138,-1.15892418138811
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.03,0.0396682765490909,-1.40155666772547
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.035,0.0212301083902891,-1.67304778853846
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.04,0.0120154667537179,-1.92025935389655
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.045,0.0104646464042114,-1.98027544169646
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.05,0.0153832620468238,-1.81295156188706
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.055,0.025868020084003,-1.58723681053734
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.06,0.0412482995701297,-1.38459395020572
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.065,0.0610385088810359,-1.21439608436916
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.07,0.0848984221162336,-1.07110038128232
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.075,0.112599842251048,-0.948462217917599
"gamma_max_vs_delta_max","gamma_max","delta_max",0.285714285714286,0.08,0.143998541467683,-0.841641906764088
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.01,0.288497601239773,-0.539857793505342
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.015,0.200457458462857,-0.697977780226623
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.02,0.134752820594526,-0.870462135560014
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.025,0.0867275090216832,-1.0618431271906
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.03,0.0529477889138815,-1.27615217120428
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.035,0.0307847281150447,-1.51166467766312
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.04,0.0181941840161322,-1.74006741714494
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.045,0.013582270840287,-1.8670276136374
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.05,0.015712788664254,-1.80374673068126
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.055,0.0236378055680441,-1.62639284394669
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.06,0.0366424782202671,-1.43601516161471
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.065,0.0541995518041239,-1.26600430478635
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.07,0.0759310532420322,-1.11958057596786
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.075,0.10157573565625,-0.993210023638095
"gamma_max_vs_delta_max","gamma_max","delta_max",0.3,0.08,0.130961375275602,-0.882856772879338
"gamma_max_vs_E_star","gamma_max","E_star",0.1,100,0.0112086622930042,-1.95044621554355
"gamma_max_vs_E_star","gamma_max","E_star",0.1,164.285714285714,0.0180892540422963,-1.74257934203981
"gamma_max_vs_E_star","gamma_max","E_star",0.1,228.571428571429,0.0262433030297697,-1.58098150476417
"gamma_max_vs_E_star","gamma_max","E_star",0.1,292.857142857143,0.035239501205877,-1.45297024739587
"gamma_max_vs_E_star","gamma_max","E_star",0.1,357.142857142857,0.0446362554715202,-1.35031224543845
"gamma_max_vs_E_star","gamma_max","E_star",0.1,421.428571428571,0.0540791002509553,-1.26697054264512
"gamma_max_vs_E_star","gamma_max","E_star",0.1,485.714285714286,0.0633266475401671,-1.1984135025513
"gamma_max_vs_E_star","gamma_max","E_star",0.1,550,0.0722315858653486,-1.14127284997414
"gamma_max_vs_E_star","gamma_max","E_star",0.1,614.285714285714,0.080713718858623,-1.09305264225155
"gamma_max_vs_E_star","gamma_max","E_star",0.1,678.571428571429,0.0887373030617039,-1.05189377466407
"gamma_max_vs_E_star","gamma_max","E_star",0.1,742.857142857143,0.0962946731960033,-1.0163977364016
"gamma_max_vs_E_star","gamma_max","E_star",0.1,807.142857142857,0.10339516199494,-0.985499782016324
"gamma_max_vs_E_star","gamma_max","E_star",0.1,871.428571428572,0.110057857193953,-0.958378947075484
"gamma_max_vs_E_star","gamma_max","E_star",0.1,935.714285714286,0.116306970851302,-0.934394255077835
"gamma_max_vs_E_star","gamma_max","E_star",0.1,1000,0.12216893405224,-0.913039215410414
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,100,0.00333153419432245,-2.47735572484539
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,164.285714285714,0.00688705125863708,-2.1619666846551
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,228.571428571429,0.0126812329370877,-1.89683851997614
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,292.857142857143,0.0199571094593457,-1.69990236068202
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,357.142857142857,0.0281391465658927,-1.55068907844868
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,421.428571428571,0.0367688402878223,-1.43452006783421
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,485.714285714286,0.0455140274704428,-1.34185473270281
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,550,0.0541517789530405,-1.26638727169242
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,614.285714285714,0.0625417851467724,-1.20382972673351
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,678.571428571429,0.0706019158323744,-1.15118351390373
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,742.857142857143,0.0782893172664763,-1.10629749424778
"gamma_max_vs_E_star","gamma_max","E_star",0.114285714285714,807.142857142857,0.0855868748629241,-1.06759283125343
